,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRSmean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,,,,,,,,,
0,4261.4,5274.955,296.5656305,5571.5206305,4978.3893695,3334.92,4694.088,258.5160802,4952.6040802,4435.5719198,3482.71,5779.048,298.2408803,6077.2888803,5480.8071197,6226.91176470588,6436.36568627451,397.175050794064,6833.54073706857,6039.19063548045,,,,,,,,,
1,4549.62,5380.878,341.3413569,5722.2193569,5039.5366431,5235.98,4794.468,369.2669806,5163.7349806,4425.2010194,6346.72,5996.273,370.9307971,6367.2037971,5625.3422029,6904.67647058823,6379.2362745098,372.393060018439,6751.62933452824,6006.84321449136,,,,,,,,,
2,5054.15,5432.373,375.3512329,5807.7242329,5057.0217671,5801.3,4719.515,387.5739084,5107.0889084,4331.9410916,6828.96,5891.971,398.3701412,6290.3411412,5493.6008588,7425.74509803921,6227.04607843137,346.205576457092,6573.25165488846,5880.84050197428,,,,,,,,,
3,5163.44,5453.682,370.072921,5823.754921,5083.609079,5502.06,4551.868,398.9571357,4950.8251357,4152.9108643,6421.69,5771.298,399.2922613,6170.5902613,5372.0057387,6840.70588235294,6035.6862745098,374.459562277288,6410.14583678709,5661.22671223251,,,,,,,,,
4,5925.36,5461.845,380.8112353,5842.6562353,5081.0337647,5366.07,4419.834,391.8605753,4811.6945753,4027.9734247,6359.97,5664.921,407.0416262,6071.9626262,5257.8793738,5892.0294117647,5900.17156862745,413.625689676427,6313.79725830388,5486.54587895102,,,,,,,,,
5,5268.14,5384.103,390.0306098,5774.1336098,4994.0723902,5178.83,4209.711,392.6364336,4602.3474336,3817.0745664,6147.72,5513.978,413.4008808,5927.3788808,5100.5771192,6970.28431372549,5800.59607843137,375.065039951806,6175.66111838318,5425.53103847956,,,,,,,,,
6,5875.95,5368.831,397.7021225,5766.5331225,4971.1288775,4437.13,4029.994,391.2379638,4421.2319638,3638.7560362,5931.35,5412.28,401.4494153,5813.7294153,5010.8305847,6393.17647058823,5620.77843137255,397.762525393498,6018.54095676605,5223.01590597905,,,,,,,,,
7,5673.04,5295.065,405.1273545,5700.1923545,4889.9376455,3614.86,3887.465,383.4082688,4270.8732688,3504.0567312,5276.29,5358.029,405.4829104,5763.5119104,4952.5460896,6012.26470588235,5469.21960784313,395.729166753172,5864.9487745963,5073.49044108996,,,,,,,,,
8,5591.94,5199.863,401.6733493,5601.5363493,4798.1896507,4272.38,3864.6,395.1383296,4259.7383296,3469.4616704,5783.39,5334.534,413.4379593,5747.9719593,4921.0960407,5564.8725490196,5365.74117647059,422.827544043023,5788.56872051361,4942.91363242757,,,,,,,,,
9,5386.51,5151.055,395.6557732,5546.7107732,4755.3992268,4197.35,3770.304,397.9073112,4168.2113112,3372.3966888,5211.68,5269.463,418.4809443,5687.9439443,4850.9820557,6132.99019607843,5310.35,402.85241484435,5713.20241484435,4907.49758515565,,,,,,,,,
10,5320.63,5094.047,410.4041159,5504.4511159,4683.6428841,4338.72,3736.913,414.7617415,4151.6747415,3322.1512585,5654.96,5247.785,408.1148681,5655.8998681,4839.6701319,5655.61764705882,5199.5568627451,403.658050830183,5603.21491357528,4795.89881191492,,,,,,,,,
11,5064.57,5087.491,410.4797672,5497.9707672,4677.0112328,4486.45,3647.622,409.8577217,4057.4797217,3237.7642783,5303.7,5160.716,415.2992763,5576.0152763,4745.4167237,5382.77450980392,5096.84607843137,405.525937313128,5502.3720157445,4691.32014111824,,,,,,,,,
12,5267.24,5096.95,387.0464487,5483.9964487,4709.9035513,4124.83,3525.714,392.2384354,3917.9524354,3133.4755646,5622.23,5153.51,431.5762458,5585.0862458,4721.9337542,5512.14705882353,5025.84901960784,418.89736933475,5444.74638894259,4606.95165027309,,,,,,,,,
13,5245.07,5100.425,413.5410449,5513.9660449,4686.8839551,4181.72,3460.72,401.4655781,3862.1855781,3059.2544219,5357.92,5134.271,420.2305664,5554.5015664,4714.0404336,5485.55882352941,4972.22352941176,425.193952526599,5397.41748193836,4547.02957688516,,,,,,,,,
14,5147.94,5061.721,409.5655188,5471.2865188,4652.1554812,3264.84,3402.104,353.2249096,3755.3289096,3048.8790904,4850.54,5126.968,410.449273,5537.417273,4716.518727,4896.27450980392,4963.35588235294,395.394446582748,5358.75032893569,4567.96143577019,,,,,,,,,
15,5115.42,5075.547,408.1553827,5483.7023827,4667.3916173,3381.66,3432.814,377.1150419,3809.9290419,3055.6989581,5130.74,5179.67,423.4776253,5603.1476253,4756.1923747,5172.10784313725,5019.12647058823,417.363754346617,5436.49022493485,4601.76271624161,,,,,,,,,
16,5138.29,5080.414,403.8405307,5484.2545307,4676.5734693,3011.84,3421.338,362.7553436,3784.0933436,3058.5826564,5388.84,5221.489,414.7705828,5636.2595828,4806.7184172,4877.58823529411,5045.07058823529,413.802994634524,5458.87358286981,4631.26759360077,,,,,,,,,
17,4721.02,5078.582,422.5812611,5501.1632611,4656.0007389,3386.21,3432.52,379.3653596,3811.8853596,3053.1546404,5041.34,5215.341,415.02904,5630.37004,4800.31196,4977.48039215686,5080.94607843137,414.094253630882,5495.04033206225,4666.85182480049,,,,,,,,,
18,5103.86,5073.792,396.1345234,5469.9265234,4677.6574766,3329.42,3468.143,373.4950008,3841.6380008,3094.6479992,5132.68,5216.871,428.2359543,5645.1069543,4788.6350457,5010.96078431372,5057.35588235294,407.556305840231,5464.91218819317,4649.79957651271,,,,,,,,,
19,4816.43,5030.21,413.2971041,5443.5071041,4616.9128959,3863.44,3482.427,391.6096524,3874.0366524,3090.8173476,4994.9,5188.489,431.5427943,5620.0317943,4756.9462057,5025.05882352941,5102.8862745098,416.25852670902,5519.14480121882,4686.62774780078,,,,,,,,,
20,5255.07,5093.082,417.3252727,5510.4072727,4675.7567273,3445.81,3444.411,374.4031925,3818.8141925,3070.0078075,4784.27,5193.372,409.7625373,5603.1345373,4783.6094627,4628.50980392156,5117.69019607843,409.865640052957,5527.55583613139,4707.82455602547,,,,,,,,,
21,5159.16,5037.223,412.0582885,5449.2812885,4625.1647115,3267.37,3439.838,387.294163,3827.132163,3052.543837,5231.64,5231.646,412.471651,5644.117651,4819.174349,4672.80392156862,5114.25392156862,424.524344504678,5538.7782660733,4689.72957706394,,,,,,,,,
22,5301.99,5016.778,422.135823,5438.913823,4594.642177,3474.89,3454.165,381.6355911,3835.8005911,3072.5294089,5429.84,5154.889,422.6623796,5577.5513796,4732.2266204,4975.89215686274,5152.32647058823,409.1360036636,5561.46247425183,4743.19046692463,,,,,,,,,
23,4858.03,4970.852,410.3480987,5381.2000987,4560.5039013,3595.56,3427.065,397.8844441,3824.9494441,3029.1805559,5284.89,5034.082,412.4345781,5446.5165781,4621.6474219,5396.88235294117,5165.5362745098,414.929711833265,5580.46598634307,4750.60656267654,,,,,,,,,
24,5286.2,4952.075,412.5572275,5364.6322275,4539.5177725,3571.94,3349.143,381.2364492,3730.3794492,2967.9065508,5377.56,4932.997,432.8310787,5365.8280787,4500.1659213,5453.98039215686,5119.40588235294,403.666961679591,5523.07284403253,4715.73892067335,,,,,,,,,
25,5164.09,4920.393,419.5891801,5339.9821801,4500.8038199,3266.9,3305.511,373.2672695,3678.7782695,2932.2437305,5548.93,4844.273,407.7622148,5252.0352148,4436.5107852,5431.54901960784,5066.77352941176,422.292223189272,5489.06575260103,4644.48130622249,,,,,,,,,
