,../../learning/pinball/data/res/actor-critic_steps*
0,1007.3227810315744
1,0.0
2,1214.9469124204563
3,159.7611643348584
4,1236.4479890515531
5,2488.137247613757
6,2418.6252752797864
7,803.196438312894
8,2503.1491277100445
9,677.9532923931166
10,1700.174304789561
11,1608.1244654243328
12,324.07212274544804
13,679.3825628220574
14,399.8102327632726
15,2217.86104831426
16,2362.4098336703187
17,2279.175744446679
18,2366.761985560926
19,2380.3421478310092
20,2496.1092093867173
21,2568.590577642836
22,943.223668537261
23,548.4455474507187
24,518.570756627897
25,1588.4341929035604
26,1297.4776384285867
27,799.9959722120828
28,2512.634975184123
29,219.75137466388387
30,287.2483762001617
31,46.433544707184204
32,244.40646169550945
33,609.042417789325
34,2394.146998797662
35,149.1191420258262
36,91.92428446321502
37,469.83314611166503
38,526.8398449455225
39,2608.6034719891936
40,61.90733816373079
41,2372.4964036190204
42,1517.404680025392
43,2425.6254176328766
44,597.9020729926339
45,2134.4489444107808
46,979.9157938123882
47,2159.1309637255727
48,2314.889630198382
49,1539.5671108752904
50,1964.215214126855
51,2570.3312367604817
52,2204.663407584192
53,2212.4335687871617
54,2549.374491183337
55,2565.689049026849
56,2435.809212257503
57,2567.3374159637465
58,739.4737367935439
59,0.0
60,2187.6259244178805
61,2162.172278742599
62,1596.328449448458
63,2372.1751075206785
64,2211.21592158067
65,2027.6765210639676
66,2548.9445891424393
67,2573.0759946169633
68,277.95723092271265
69,2212.807886089694
70,1182.9348624877402
71,1719.738761384242
72,1721.5624255847317
73,930.5322650485023
74,440.99189544917016
75,1846.3457202047828
76,1711.183108153429
77,389.11894782386986
78,618.4319478116198
79,133.74962789840936
80,429.8653535960094
81,699.0721363720999
82,1731.2286581115352
83,254.3236491530399
84,487.4428361546803
85,690.8613517974554
86,2041.8608252350673
87,1383.4973664459803
88,180.49705035037326
89,891.688410949824
90,168.44803572835377
91,526.3121873171079
92,2112.587162348223
93,438.3111527974923
94,347.38003524798154
95,870.2993525005996
96,319.7368130660429
97,244.44237372860312
98,539.8765976968633
99,575.9178825209435
100,362.7362065682933
101,687.4450281052782
102,238.92459681448236
103,446.79235379246074
104,412.5908205294747
105,37.55391186409608
106,195.07282590716576
107,2235.818832520169
108,711.8561548411203
109,1430.2348162555788
110,93.07623319185831
111,660.120583821763
112,290.02694638538264
113,119.43291934061656
114,192.96190374344957
115,37.28667719569949
116,272.2879739186818
117,394.4117983360369
118,174.5370596325754
119,1013.7198093417392
120,1127.0070491744445
121,731.4947153045731
122,1644.5797842204756
123,119.50298307139852
124,227.76791306551988
125,154.9080970076081
126,726.2324900674918
127,1446.0508930135154
128,461.89921940710065
129,696.339848913722
130,2099.573025376562
131,227.72839573101598
132,320.04629294780096
133,25.72072229848057
134,898.5989506304101
135,577.4305794414373
136,212.05816812060473
137,132.13657356717735
138,259.9868942565859
139,121.44439361592919
140,2181.4254259288555
141,358.72087570514583
142,2421.500789608394
143,2047.9594360855517
144,871.3026008352219
145,64.82512087375
146,195.96428245984012
147,2607.039359546039
148,1157.162909879158
149,367.4600507387013
150,828.0746074814489
151,187.8019050903253
152,161.0399076373675
153,99.88104035412438
154,373.124147743924
155,143.33824280997675
156,67.53819221305385
157,238.17469467847584
158,362.13287923388316
159,849.5110140327569
160,1322.4324389380183
161,1766.4960294951761
162,91.18641874184424
163,277.25172410377996
164,691.3484408506804
165,279.3724448884731
166,602.5192174590014
167,192.35403316300406
168,309.03110235415176
169,165.24347916758293
170,373.20305266505864
171,115.6943610777344
172,686.1736633654021
173,2354.9999292285906
174,442.0689572487113
175,120.51371521762805
176,828.4037305207775
177,2478.7089979052193
178,156.79380184272685
179,2535.776847875661
180,2026.0783685621727
181,1583.4113898888152
182,208.9770499538344
183,416.8207715020397
184,2367.981434486781
185,135.13203419865576
186,38.184736139903784
187,168.52914903385135
188,1652.4495173551923
189,161.7350370891299
190,2388.07760901246
191,1120.637616121584
192,2303.2549110302975
193,2509.4590091329483
194,2635.2439903904324
195,210.2966159182469
196,268.8299751805136
197,735.6587876535234
198,39.568037980542194
199,668.629111607391
