,0
0,4593
1,10000
2,10000
3,9413
4,5457
5,858
6,2241
7,4776
8,920
9,1273
10,2116
11,452
12,621
13,3194
14,247
15,2851
16,8936
17,918
18,2771
19,1074
20,1624
21,437
22,264
23,133
24,3090
25,305
26,217
27,467
28,10000
29,1395
30,523
31,605
32,130
33,1822
34,416
35,677
36,1133
37,1436
38,2070
39,479
40,298
41,2557
42,6618
43,1684
44,598
45,3894
46,1369
47,10000
48,2647
49,6507
50,5135
51,10000
52,4760
53,10000
54,10000
55,712
56,10000
57,10000
58,7283
59,10000
60,789
61,3539
62,452
63,653
64,5750
65,7256
66,900
67,891
68,1888
69,711
70,328
71,4415
72,2708
73,3000
74,3150
75,2183
76,2464
77,649
78,3322
79,1598
80,2369
81,2770
82,1274
83,438
84,2535
85,3436
86,7954
87,5911
88,1577
89,4388
90,344
91,2508
92,8017
93,2341
94,1567
95,3924
96,1538
97,1658
98,2447
99,2290
100,406
101,2673
102,1490
103,2033
104,3448
105,403
106,405
107,8608
108,555
109,314
110,1161
111,579
112,310
113,1325
114,1182
115,372
116,92
117,1800
118,80
119,3995
120,4694
121,3150
122,6293
123,965
124,1264
125,176
126,124
127,1394
128,115
129,3059
130,8129
131,553
132,1472
133,110
134,451
135,2882
136,849
137,1107
138,387
139,793
140,10000
141,1716
142,10000
143,8852
144,5162
145,192
146,1320
147,10000
148,5682
149,305
150,3643
151,301
152,1022
153,1663
154,707
155,856
156,637
157,1689
158,505
159,449
160,5183
161,6839
162,513
163,809
164,3934
165,1896
166,2677
167,714
168,1140
169,946
170,1282
171,498
172,253
173,10000
174,792
175,353
176,250
177,10000
178,356
179,10000
180,5738
181,6110
182,1349
183,2255
184,10000
185,1243
186,321
187,864
188,6777
189,213
190,10000
191,669
192,10000
193,10000
194,10000
195,1065
196,1479
197,2899
198,339
199,3525
